method,month_index,year,month,scaled_demand,order_quantity,theta,ending_inventory,ending_backlog,fill_rate,period_cost,period_welfare
adaptive_valuation_service_replay,139,1960,7,31.100000,29.082916,0.953050,0.000000,5.001013,0.853274,15.852547,-16.416358
adaptive_valuation_service_replay,140,1960,8,30.300000,33.742382,1.074459,0.000000,1.558631,0.955847,6.298180,-6.011401
adaptive_valuation_service_replay,141,1960,9,25.400000,30.055013,0.914646,3.096382,0.000000,1.000000,2.520340,-1.880340
adaptive_valuation_service_replay,142,1960,10,23.050000,23.299207,0.750000,3.345589,0.000000,1.000000,2.221034,-1.581034
adaptive_valuation_service_replay,143,1960,11,19.500000,21.310979,0.750000,5.156568,0.000000,1.000000,2.618755,-1.978755
adaptive_valuation_service_replay,144,1960,12,21.600000,18.092464,0.750000,1.649032,0.000000,1.000000,1.459627,-0.819627
seasonal_quantile_base_stock,109,1958,1,17.000000,2.965093,1.000000,0.000000,2.490000,0.853529,7.259580,-7.821345
seasonal_quantile_base_stock,110,1958,2,15.900000,16.580000,1.000000,0.000000,1.810000,0.901577,6.070400,-6.247784
seasonal_quantile_base_stock,111,1958,3,18.100000,18.050000,1.000000,0.000000,1.860000,0.906580,6.293750,-6.431113
seasonal_quantile_base_stock,112,1958,4,17.400000,17.860000,1.000000,0.000000,1.400000,0.927310,4.972300,-4.913816
seasonal_quantile_base_stock,113,1958,5,18.150000,17.670000,1.000000,0.000000,1.880000,0.903836,6.329850,-6.489159
seasonal_quantile_base_stock,114,1958,6,21.750000,21.060000,1.000000,0.000000,2.570000,0.891240,8.482800,-8.742880
seasonal_quantile_base_stock,115,1958,7,24.550000,23.740000,1.000000,0.000000,3.380000,0.875369,10.938700,-11.325750
seasonal_quantile_base_stock,116,1958,8,25.250000,24.250000,1.000000,0.000000,4.380000,0.847014,13.816750,-14.430641
seasonal_quantile_base_stock,117,1958,9,20.200000,22.620000,1.000000,0.000000,1.960000,0.920260,6.830100,-6.828017
seasonal_quantile_base_stock,118,1958,10,17.950000,17.670000,1.000000,0.000000,2.240000,0.887494,7.355850,-7.645900
seasonal_quantile_base_stock,119,1958,11,15.500000,16.130000,1.000000,0.000000,1.610000,0.909245,5.475650,-5.591693
seasonal_quantile_base_stock,120,1958,12,16.850000,17.210000,1.000000,0.000000,1.250000,0.932286,4.509050,-4.410762
seasonal_quantile_base_stock,121,1959,1,18.000000,15.760000,1.000000,0.000000,3.490000,0.818701,10.813300,-11.653690
seasonal_quantile_base_stock,122,1959,2,17.100000,17.580000,1.000000,0.000000,3.010000,0.853813,9.545400,-10.104900
seasonal_quantile_base_stock,123,1959,3,20.300000,19.250000,1.000000,0.000000,4.060000,0.825826,12.629750,-13.413143
seasonal_quantile_base_stock,124,1959,4,19.800000,20.060000,1.000000,0.000000,3.800000,0.840738,11.933300,-12.597399
seasonal_quantile_base_stock,125,1959,5,21.000000,20.070000,1.000000,0.000000,4.730000,0.809274,14.584350,-15.500156
seasonal_quantile_base_stock,126,1959,6,23.600000,23.910000,1.000000,0.000000,4.420000,0.843982,13.912050,-14.550197
seasonal_quantile_base_stock,127,1959,7,27.400000,25.590000,1.000000,0.000000,6.230000,0.804211,19.162950,-20.119260
seasonal_quantile_base_stock,128,1959,8,27.950000,27.100000,1.000000,0.000000,7.080000,0.792861,21.668500,-22.715609
seasonal_quantile_base_stock,129,1959,9,23.150000,25.320000,1.000000,0.000000,4.910000,0.837579,15.386100,-16.075471
seasonal_quantile_base_stock,130,1959,10,20.350000,20.620000,1.000000,0.000000,4.640000,0.816310,14.358100,-15.217617
seasonal_quantile_base_stock,131,1959,11,18.100000,18.530000,1.000000,0.000000,4.210000,0.814864,13.017650,-13.888741
seasonal_quantile_base_stock,132,1959,12,20.250000,19.810000,1.000000,0.000000,4.650000,0.809894,14.342050,-15.252900
seasonal_quantile_base_stock,133,1960,1,20.850000,19.160000,1.000000,0.000000,6.340000,0.751373,19.122800,-20.501820
seasonal_quantile_base_stock,134,1960,2,19.550000,20.430000,1.000000,0.000000,5.460000,0.789108,16.684650,-17.761788
seasonal_quantile_base_stock,135,1960,3,20.950000,21.700000,1.000000,0.000000,4.710000,0.821658,14.617000,-15.433732
seasonal_quantile_base_stock,136,1960,4,23.050000,20.710000,1.000000,0.000000,7.050000,0.746037,21.231550,-22.653250
seasonal_quantile_base_stock,137,1960,5,23.600000,23.320000,1.000000,0.000000,7.330000,0.760848,22.173100,-23.476314
seasonal_quantile_base_stock,138,1960,6,26.750000,26.510000,1.000000,0.000000,7.570000,0.777876,23.032550,-24.199545
seasonal_quantile_base_stock,139,1960,7,31.100000,28.740000,1.000000,0.000000,9.930000,0.743212,29.881200,-31.325506
seasonal_quantile_base_stock,140,1960,8,30.300000,30.800000,1.000000,0.000000,9.430000,0.765598,28.569500,-29.834717
seasonal_quantile_base_stock,141,1960,9,25.400000,27.670000,1.000000,0.000000,7.160000,0.794430,21.927850,-22.962409
seasonal_quantile_base_stock,142,1960,10,23.050000,22.870000,1.000000,0.000000,7.340000,0.757034,22.176850,-23.510577
seasonal_quantile_base_stock,143,1960,11,19.500000,21.230000,1.000000,0.000000,5.610000,0.790984,17.156150,-18.218281
seasonal_quantile_base_stock,144,1960,12,21.600000,21.210000,1.000000,0.000000,6.000000,0.779493,18.266550,-19.420607
fixed_empirical_base_stock,109,1958,1,17.000000,5.955093,1.000000,0.500000,0.000000,1.000000,0.467530,0.172470
fixed_empirical_base_stock,110,1958,2,15.900000,17.000000,1.000000,1.600000,0.000000,1.000000,1.383000,-0.743000
fixed_empirical_base_stock,111,1958,3,18.100000,15.900000,1.000000,0.000000,0.600000,0.966851,2.584500,-2.209693
fixed_empirical_base_stock,112,1958,4,17.400000,18.100000,1.000000,0.100000,0.000000,1.000000,1.023500,-0.383500
fixed_empirical_base_stock,113,1958,5,18.150000,17.400000,1.000000,0.000000,0.650000,0.964187,2.809500,-2.456001
fixed_empirical_base_stock,114,1958,6,21.750000,18.150000,1.000000,0.000000,4.250000,0.810268,13.110750,-14.018607
fixed_empirical_base_stock,115,1958,7,24.550000,21.750000,1.000000,0.000000,7.050000,0.755208,21.288750,-22.637083
fixed_empirical_base_stock,116,1958,8,25.250000,24.550000,1.000000,0.000000,7.750000,0.760062,23.437750,-24.747255
fixed_empirical_base_stock,117,1958,9,20.200000,25.250000,1.000000,0.000000,2.700000,0.903399,9.083750,-9.246559
fixed_empirical_base_stock,118,1958,10,17.950000,20.200000,1.000000,0.000000,0.450000,0.978208,2.393500,-1.927834
fixed_empirical_base_stock,119,1958,11,15.500000,17.950000,1.000000,2.000000,0.000000,1.000000,1.547250,-0.907250
fixed_empirical_base_stock,120,1958,12,16.850000,15.500000,1.000000,0.650000,0.000000,1.000000,1.034500,-0.394500
fixed_empirical_base_stock,121,1959,1,18.000000,16.850000,1.000000,0.000000,0.500000,0.972222,2.351750,-1.933972
fixed_empirical_base_stock,122,1959,2,17.100000,18.000000,1.000000,0.400000,0.000000,1.000000,1.102000,-0.462000
fixed_empirical_base_stock,123,1959,3,20.300000,17.100000,1.000000,0.000000,2.800000,0.862069,8.920500,-9.413948
fixed_empirical_base_stock,124,1959,4,19.800000,20.300000,1.000000,0.000000,2.300000,0.898230,7.671500,-7.875659
fixed_empirical_base_stock,125,1959,5,21.000000,19.800000,1.000000,0.000000,3.500000,0.849785,11.064000,-11.655717
fixed_empirical_base_stock,126,1959,6,23.600000,21.000000,1.000000,0.000000,6.100000,0.774908,18.540000,-19.730738
fixed_empirical_base_stock,127,1959,7,27.400000,23.600000,1.000000,0.000000,9.900000,0.704478,29.513000,-31.267179
fixed_empirical_base_stock,128,1959,8,27.950000,27.400000,1.000000,0.000000,10.450000,0.723910,31.289500,-32.888219
fixed_empirical_base_stock,129,1959,9,23.150000,27.950000,1.000000,0.000000,5.650000,0.831845,17.639750,-18.374988
fixed_empirical_base_stock,130,1959,10,20.350000,23.150000,1.000000,0.000000,2.850000,0.890385,9.395750,-9.662673
fixed_empirical_base_stock,131,1959,11,18.100000,20.350000,1.000000,0.000000,0.600000,0.971360,2.829250,-2.418367
fixed_empirical_base_stock,132,1959,12,20.250000,18.100000,1.000000,0.000000,2.750000,0.868106,8.833000,-9.278156
fixed_empirical_base_stock,133,1960,1,20.850000,20.250000,1.000000,0.000000,3.350000,0.858051,10.661250,-11.186843
fixed_empirical_base_stock,134,1960,2,19.550000,20.850000,1.000000,0.000000,2.050000,0.910480,6.989250,-7.095407
fixed_empirical_base_stock,135,1960,3,20.950000,19.550000,1.000000,0.000000,3.450000,0.850000,10.907750,-11.497750
fixed_empirical_base_stock,136,1960,4,23.050000,20.950000,1.000000,0.000000,5.550000,0.790566,16.969750,-18.035222
fixed_empirical_base_stock,137,1960,5,23.600000,23.050000,1.000000,0.000000,6.100000,0.790738,18.652750,-19.716849
fixed_empirical_base_stock,138,1960,6,26.750000,23.600000,1.000000,0.000000,9.250000,0.718417,27.660500,-29.303164
fixed_empirical_base_stock,139,1960,7,31.100000,26.750000,1.000000,0.000000,13.600000,0.662949,40.231250,-42.317656
fixed_empirical_base_stock,140,1960,8,30.300000,31.100000,1.000000,0.000000,12.800000,0.708428,38.190500,-39.913074
fixed_empirical_base_stock,141,1960,9,25.400000,30.300000,1.000000,0.000000,7.900000,0.793194,24.181500,-25.225950
fixed_empirical_base_stock,142,1960,10,23.050000,25.400000,1.000000,0.000000,5.550000,0.820679,17.214500,-18.039072
fixed_empirical_base_stock,143,1960,11,19.500000,23.050000,1.000000,0.000000,2.000000,0.920160,6.967750,-6.966473
fixed_empirical_base_stock,144,1960,12,21.600000,19.500000,1.000000,0.000000,4.100000,0.826271,12.757500,-13.537331
no_reorder,109,1958,1,17.000000,0.000000,1.000000,0.000000,5.455093,0.679112,15.547014,-17.504116
no_reorder,110,1958,2,15.900000,0.000000,1.000000,0.000000,21.355093,0.000000,60.862014,-68.252014
no_reorder,111,1958,3,18.100000,0.000000,1.000000,0.000000,39.455093,0.000000,112.447014,-119.837014
no_reorder,112,1958,4,17.400000,0.000000,1.000000,0.000000,56.855093,0.000000,162.037014,-169.427014
no_reorder,113,1958,5,18.150000,0.000000,1.000000,0.000000,75.005093,0.000000,213.764514,-221.154514
no_reorder,114,1958,6,21.750000,0.000000,1.000000,0.000000,96.755093,0.000000,275.752014,-283.142014
no_reorder,115,1958,7,24.550000,0.000000,1.000000,0.000000,121.305093,0.000000,345.719514,-353.109514
no_reorder,116,1958,8,25.250000,0.000000,1.000000,0.000000,146.555093,0.000000,417.682014,-425.072014
no_reorder,117,1958,9,20.200000,0.000000,1.000000,0.000000,166.755093,0.000000,475.252014,-482.642014
no_reorder,118,1958,10,17.950000,0.000000,1.000000,0.000000,184.705093,0.000000,526.409514,-533.799514
no_reorder,119,1958,11,15.500000,0.000000,1.000000,0.000000,200.205093,0.000000,570.584514,-577.974514
no_reorder,120,1958,12,16.850000,0.000000,1.000000,0.000000,217.055093,0.000000,618.607014,-625.997014
no_reorder,121,1959,1,18.000000,0.000000,1.000000,0.000000,235.055093,0.000000,669.907014,-677.297014
no_reorder,122,1959,2,17.100000,0.000000,1.000000,0.000000,252.155093,0.000000,718.642014,-726.032014
no_reorder,123,1959,3,20.300000,0.000000,1.000000,0.000000,272.455093,0.000000,776.497014,-783.887014
no_reorder,124,1959,4,19.800000,0.000000,1.000000,0.000000,292.255093,0.000000,832.927014,-840.317014
no_reorder,125,1959,5,21.000000,0.000000,1.000000,0.000000,313.255093,0.000000,892.777014,-900.167014
no_reorder,126,1959,6,23.600000,0.000000,1.000000,0.000000,336.855093,0.000000,960.037014,-967.427014
no_reorder,127,1959,7,27.400000,0.000000,1.000000,0.000000,364.255093,0.000000,1038.127014,-1045.517014
no_reorder,128,1959,8,27.950000,0.000000,1.000000,0.000000,392.205093,0.000000,1117.784514,-1125.174514
no_reorder,129,1959,9,23.150000,0.000000,1.000000,0.000000,415.355093,0.000000,1183.762014,-1191.152014
no_reorder,130,1959,10,20.350000,0.000000,1.000000,0.000000,435.705093,0.000000,1241.759514,-1249.149514
no_reorder,131,1959,11,18.100000,0.000000,1.000000,0.000000,453.805093,0.000000,1293.344514,-1300.734514
no_reorder,132,1959,12,20.250000,0.000000,1.000000,0.000000,474.055093,0.000000,1351.057014,-1358.447014
no_reorder,133,1960,1,20.850000,0.000000,1.000000,0.000000,494.905093,0.000000,1410.479514,-1417.869514
no_reorder,134,1960,2,19.550000,0.000000,1.000000,0.000000,514.455093,0.000000,1466.197014,-1473.587014
no_reorder,135,1960,3,20.950000,0.000000,1.000000,0.000000,535.405093,0.000000,1525.904514,-1533.294514
no_reorder,136,1960,4,23.050000,0.000000,1.000000,0.000000,558.455093,0.000000,1591.597014,-1598.987014
no_reorder,137,1960,5,23.600000,0.000000,1.000000,0.000000,582.055093,0.000000,1658.857014,-1666.247014
no_reorder,138,1960,6,26.750000,0.000000,1.000000,0.000000,608.805093,0.000000,1735.094514,-1742.484514
no_reorder,139,1960,7,31.100000,0.000000,1.000000,0.000000,639.905093,0.000000,1823.729514,-1831.119514
no_reorder,140,1960,8,30.300000,0.000000,1.000000,0.000000,670.205093,0.000000,1910.084514,-1917.474514
no_reorder,141,1960,9,25.400000,0.000000,1.000000,0.000000,695.605093,0.000000,1982.474514,-1989.864514
no_reorder,142,1960,10,23.050000,0.000000,1.000000,0.000000,718.655093,0.000000,2048.167014,-2055.557014
no_reorder,143,1960,11,19.500000,0.000000,1.000000,0.000000,738.155093,0.000000,2103.742014,-2111.132014
no_reorder,144,1960,12,21.600000,0.000000,1.000000,0.000000,759.755093,0.000000,2165.302014,-2172.692014
