month_index,year,month,raw_passengers,scaled_demand,split,source
50,1953,2,196,9.800000,train,R datasets::AirPassengers via Rdatasets
51,1953,3,236,11.800000,train,R datasets::AirPassengers via Rdatasets
52,1953,4,235,11.750000,train,R datasets::AirPassengers via Rdatasets
53,1953,5,229,11.450000,train,R datasets::AirPassengers via Rdatasets
54,1953,6,243,12.150000,train,R datasets::AirPassengers via Rdatasets
55,1953,7,264,13.200000,train,R datasets::AirPassengers via Rdatasets
56,1953,8,272,13.600000,train,R datasets::AirPassengers via Rdatasets
57,1953,9,237,11.850000,train,R datasets::AirPassengers via Rdatasets
58,1953,10,211,10.550000,train,R datasets::AirPassengers via Rdatasets
59,1953,11,180,9.000000,train,R datasets::AirPassengers via Rdatasets
60,1953,12,201,10.050000,train,R datasets::AirPassengers via Rdatasets
61,1954,1,204,10.200000,train,R datasets::AirPassengers via Rdatasets
62,1954,2,188,9.400000,train,R datasets::AirPassengers via Rdatasets
63,1954,3,235,11.750000,train,R datasets::AirPassengers via Rdatasets
64,1954,4,227,11.350000,train,R datasets::AirPassengers via Rdatasets
65,1954,5,234,11.700000,train,R datasets::AirPassengers via Rdatasets
66,1954,6,264,13.200000,train,R datasets::AirPassengers via Rdatasets
67,1954,7,302,15.100000,train,R datasets::AirPassengers via Rdatasets
68,1954,8,293,14.650000,train,R datasets::AirPassengers via Rdatasets
69,1954,9,259,12.950000,train,R datasets::AirPassengers via Rdatasets
70,1954,10,229,11.450000,train,R datasets::AirPassengers via Rdatasets
71,1954,11,203,10.150000,train,R datasets::AirPassengers via Rdatasets
72,1954,12,229,11.450000,train,R datasets::AirPassengers via Rdatasets
73,1955,1,242,12.100000,train,R datasets::AirPassengers via Rdatasets
74,1955,2,233,11.650000,train,R datasets::AirPassengers via Rdatasets
75,1955,3,267,13.350000,train,R datasets::AirPassengers via Rdatasets
76,1955,4,269,13.450000,train,R datasets::AirPassengers via Rdatasets
77,1955,5,270,13.500000,train,R datasets::AirPassengers via Rdatasets
78,1955,6,315,15.750000,train,R datasets::AirPassengers via Rdatasets
79,1955,7,364,18.200000,train,R datasets::AirPassengers via Rdatasets
80,1955,8,347,17.350000,train,R datasets::AirPassengers via Rdatasets
81,1955,9,312,15.600000,train,R datasets::AirPassengers via Rdatasets
82,1955,10,274,13.700000,train,R datasets::AirPassengers via Rdatasets
83,1955,11,237,11.850000,train,R datasets::AirPassengers via Rdatasets
84,1955,12,278,13.900000,train,R datasets::AirPassengers via Rdatasets
85,1956,1,284,14.200000,train,R datasets::AirPassengers via Rdatasets
86,1956,2,277,13.850000,train,R datasets::AirPassengers via Rdatasets
87,1956,3,317,15.850000,train,R datasets::AirPassengers via Rdatasets
88,1956,4,313,15.650000,train,R datasets::AirPassengers via Rdatasets
89,1956,5,318,15.900000,train,R datasets::AirPassengers via Rdatasets
90,1956,6,374,18.700000,train,R datasets::AirPassengers via Rdatasets
91,1956,7,413,20.650000,train,R datasets::AirPassengers via Rdatasets
92,1956,8,405,20.250000,train,R datasets::AirPassengers via Rdatasets
93,1956,9,355,17.750000,train,R datasets::AirPassengers via Rdatasets
94,1956,10,306,15.300000,train,R datasets::AirPassengers via Rdatasets
95,1956,11,271,13.550000,train,R datasets::AirPassengers via Rdatasets
96,1956,12,306,15.300000,train,R datasets::AirPassengers via Rdatasets
97,1957,1,315,15.750000,train,R datasets::AirPassengers via Rdatasets
98,1957,2,301,15.050000,train,R datasets::AirPassengers via Rdatasets
99,1957,3,356,17.800000,train,R datasets::AirPassengers via Rdatasets
100,1957,4,348,17.400000,train,R datasets::AirPassengers via Rdatasets
101,1957,5,355,17.750000,train,R datasets::AirPassengers via Rdatasets
102,1957,6,422,21.100000,train,R datasets::AirPassengers via Rdatasets
103,1957,7,465,23.250000,train,R datasets::AirPassengers via Rdatasets
104,1957,8,467,23.350000,train,R datasets::AirPassengers via Rdatasets
105,1957,9,404,20.200000,train,R datasets::AirPassengers via Rdatasets
106,1957,10,347,17.350000,train,R datasets::AirPassengers via Rdatasets
107,1957,11,305,15.250000,train,R datasets::AirPassengers via Rdatasets
108,1957,12,336,16.800000,train,R datasets::AirPassengers via Rdatasets
109,1958,1,340,17.000000,test,R datasets::AirPassengers via Rdatasets
110,1958,2,318,15.900000,test,R datasets::AirPassengers via Rdatasets
111,1958,3,362,18.100000,test,R datasets::AirPassengers via Rdatasets
112,1958,4,348,17.400000,test,R datasets::AirPassengers via Rdatasets
113,1958,5,363,18.150000,test,R datasets::AirPassengers via Rdatasets
114,1958,6,435,21.750000,test,R datasets::AirPassengers via Rdatasets
115,1958,7,491,24.550000,test,R datasets::AirPassengers via Rdatasets
116,1958,8,505,25.250000,test,R datasets::AirPassengers via Rdatasets
117,1958,9,404,20.200000,test,R datasets::AirPassengers via Rdatasets
118,1958,10,359,17.950000,test,R datasets::AirPassengers via Rdatasets
119,1958,11,310,15.500000,test,R datasets::AirPassengers via Rdatasets
120,1958,12,337,16.850000,test,R datasets::AirPassengers via Rdatasets
121,1959,1,360,18.000000,test,R datasets::AirPassengers via Rdatasets
122,1959,2,342,17.100000,test,R datasets::AirPassengers via Rdatasets
123,1959,3,406,20.300000,test,R datasets::AirPassengers via Rdatasets
124,1959,4,396,19.800000,test,R datasets::AirPassengers via Rdatasets
125,1959,5,420,21.000000,test,R datasets::AirPassengers via Rdatasets
126,1959,6,472,23.600000,test,R datasets::AirPassengers via Rdatasets
127,1959,7,548,27.400000,test,R datasets::AirPassengers via Rdatasets
128,1959,8,559,27.950000,test,R datasets::AirPassengers via Rdatasets
129,1959,9,463,23.150000,test,R datasets::AirPassengers via Rdatasets
130,1959,10,407,20.350000,test,R datasets::AirPassengers via Rdatasets
131,1959,11,362,18.100000,test,R datasets::AirPassengers via Rdatasets
132,1959,12,405,20.250000,test,R datasets::AirPassengers via Rdatasets
133,1960,1,417,20.850000,test,R datasets::AirPassengers via Rdatasets
134,1960,2,391,19.550000,test,R datasets::AirPassengers via Rdatasets
135,1960,3,419,20.950000,test,R datasets::AirPassengers via Rdatasets
136,1960,4,461,23.050000,test,R datasets::AirPassengers via Rdatasets
137,1960,5,472,23.600000,test,R datasets::AirPassengers via Rdatasets
138,1960,6,535,26.750000,test,R datasets::AirPassengers via Rdatasets
139,1960,7,622,31.100000,test,R datasets::AirPassengers via Rdatasets
140,1960,8,606,30.300000,test,R datasets::AirPassengers via Rdatasets
141,1960,9,508,25.400000,test,R datasets::AirPassengers via Rdatasets
142,1960,10,461,23.050000,test,R datasets::AirPassengers via Rdatasets
143,1960,11,390,19.500000,test,R datasets::AirPassengers via Rdatasets
144,1960,12,432,21.600000,test,R datasets::AirPassengers via Rdatasets
